"","county","industry","medium","injury_type","injury_date","death","injuries"
"466","桃園市","製造業","塑膠浪板","墜落、滾落",2017-06-30,1,0
"467","高雄市","運輸及倉儲業","艙蓋板","物體飛落",2017-07-03,1,0
"468","台南市","製造業","鑽床","被夾、被捲",2017-07-03,1,0
"469","桃園市","製造業","輸送帶","被夾、被捲",2017-07-04,1,0
"470","新北市","營造業","屋頂、屋架、樑","墜落、滾落",2017-07-04,1,0
"471","高雄市","電力及燃氣供應業","營建物","物體飛落",2017-07-06,1,1
"472","桃園市","不動產業","開口部分","墜落、滾落",2017-07-07,1,0
"473","桃園市","製造業","開口部分","墜落、滾落",2017-07-08,1,0
"474","嘉義縣","農、林、漁、牧業","水","溺斃",2017-07-08,1,0
"475","桃園市","營造業","開口部分","墜落、滾落",2017-07-10,1,0
"476","台南市","批發及零售業","其他(螺旋葉片)","被夾、被捲",2017-07-10,1,0
"477","台南市","營造業","屋頂、屋架、樑","墜落、滾落",2017-07-11,1,0
"478","新北市","營造業","開口部分","墜落、滾落",2017-07-12,1,0
"479","新竹縣","營造業","施工架","墜落、滾落",2017-07-14,1,0
"480","台北市","營造業","電","感電",2017-07-14,1,0
"481","苗栗縣","營造業","屋頂、屋架、樑","墜落、滾落",2017-07-14,1,0
"482","台北市","專業、科學及技術服務業","輸配電路線","感電",2017-07-15,1,0
"483","彰化縣","製造業","TY-209成型機","被夾、被捲",2017-07-18,1,0
"484","高雄市","營造業","輸配電線路","感電",2017-07-18,1,0
"485","彰化縣","營造業","移動梯","墜落、滾落",2017-07-18,1,0
"486","台南市","營造業","卡車","墜落、滾落",2017-07-18,1,0
"487","屏東縣","農、林、漁、牧業","其他媒介物(虎頭蜂)","其他",2017-07-19,1,0
"488","台南市","製造業","採光罩","墜落、滾落",2017-07-20,1,0
"489","高雄市","營造業","營建物","墜落、滾落",2017-07-20,1,0
"490","台北市","營造業","待查","待查",2017-07-20,1,0
"491","彰化縣","製造業","屋頂、屋架、樑","墜落、滾落",2017-07-21,1,0
"492","雲林縣","營造業","電弧熔接","感電",2017-07-22,1,0
"493","台南市","營造業","施工架","墜落、滾落",2017-07-22,1,0
"494","台北市","營造業","施工架","墜落、滾落",2017-07-23,1,0
"495","嘉義縣","電力及燃氣供應業","屋頂、屋架、樑","墜落、滾落",2017-07-24,1,0
"496","中科","營造業","電力設備","物體倒塌、崩塌",2017-07-25,1,0
"497","高雄市","批發及零售業","浪板","墜落、滾落",2017-07-27,1,0
"498","台北市","公共行政及國防；強制性社會安全","機車","公路交通事故",2017-07-29,1,0
"499","新北市","支援服務業","不能分類","墜落、滾落",2017-07-30,1,0
"500","台中市","營造業","合梯","墜落、滾落",2017-07-31,1,0
"501","嘉義縣","運輸及倉儲業","輸配電線路","感電",2017-07-31,1,0
"502","桃園市","製造業","其他(升降平台)","被夾、被捲",2017-08-01,1,0
"503","基隆市","農、林、漁、牧業","其他設備","感電",2017-08-03,1,0
"504","高雄市","營造業","屋頂、屋架、樑","墜落、滾落",2017-08-03,1,0
"505","台南市","營造業","開口部分","墜落、滾落",2017-08-03,1,0
"506","新北市","製造業","其他媒介物","感電",2017-08-04,1,0
"507","彰化縣","營造業","金屬材料","物體飛落",2017-08-07,1,0
"508","嘉義市","不動產業","開口部分","墜落、滾落",2017-08-07,1,0
"509","新竹市","專業、科學及技術服務業","拖板車","公路交通事故",2017-08-07,0,4
